customer_id,age,gender,location,monthly_income,monthly_emi_outflow,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,target_credit_score_movement
CUST00001,56,M,Semi-Urban,154867,860,365838,2.36,3,71,60,4,54886,137337,531430,10,decrease
CUST00002,28,M,Semi-Urban,120727,44131,191335,1.58,3,21,52,1,59735,194027,337069,1,stable
CUST00003,41,M,Metropolitan,229176,85305,989436,4.32,4,88,48,2,25658,346622,394681,27,stable
CUST00004,35,F,Urban,75725,19118,67435,0.89,4,63,56,2,69092,3890,575894,20,stable
CUST00005,29,M,Metropolitan,488254,349457,1465689,3.0,5,1,19,3,23483,386502,582843,7,decrease
CUST00006,55,M,Metropolitan,95077,35920,460337,4.84,4,1,5,5,78953,315139,181829,28,stable
CUST00007,32,M,Rural,42065,26557,99299,2.36,6,94,47,5,91387,263160,589879,20,decrease
CUST00008,36,M,Metropolitan,39300,8529,82798,2.11,5,23,25,0,86779,432315,936075,28,stable
CUST00009,34,M,Urban,386896,48984,302918,0.78,1,87,0,3,2695,124375,713550,10,increase
CUST00010,34,F,Semi-Urban,172231,13986,586146,3.4,1,4,41,1,52251,284806,804824,7,stable
CUST00011,26,F,Rural,118569,52256,351279,2.96,6,87,36,2,84651,456551,283109,26,stable
CUST00012,49,M,Rural,118252,8110,472525,4.0,3,0,4,1,98806,400126,907421,26,stable
CUST00013,29,M,Metropolitan,408422,218126,218969,0.54,2,76,50,0,54268,110687,884371,29,stable
CUST00014,56,M,Urban,115878,71910,198286,1.71,3,28,35,4,62623,474950,871882,21,decrease
CUST00015,45,M,Semi-Urban,51585,2693,226075,4.38,4,43,19,5,42941,152906,552335,27,decrease
CUST00016,39,M,Rural,49262,23776,161152,3.27,1,26,56,3,55016,402690,509046,5,decrease
CUST00017,28,M,Metropolitan,151602,94856,228576,1.51,3,43,23,2,93557,61087,603128,11,stable
CUST00018,59,F,Metropolitan,256025,154736,591460,2.31,1,55,16,2,26736,225281,647147,22,stable
CUST00019,57,F,Metropolitan,446839,269536,1306002,2.92,6,1,52,3,26309,480671,729094,3,decrease
CUST00020,25,M,Rural,114751,12688,461079,4.02,5,97,5,5,34698,110078,877055,15,increase
CUST00021,52,M,Urban,365528,86202,51663,0.14,5,2,19,3,56250,112547,999586,25,stable
CUST00022,20,M,Semi-Urban,234814,142483,658271,2.8,4,32,39,1,11111,299648,667162,27,stable
CUST00023,44,M,Urban,384705,47254,1856926,4.83,6,41,34,3,96601,483951,117512,1,decrease
CUST00024,18,F,Semi-Urban,111727,20932,117796,1.05,3,8,40,2,42642,15151,978911,2,stable
CUST00025,39,F,Urban,16295,6197,59040,3.62,4,74,48,3,53351,454483,526349,34,decrease
CUST00026,42,M,Semi-Urban,221090,133272,767836,3.47,2,81,1,5,61135,312252,646584,35,stable
CUST00027,52,M,Urban,48467,23328,91412,1.89,4,7,6,2,86416,332415,840496,11,stable
CUST00028,42,M,Metropolitan,296974,148501,1448685,4.88,6,37,37,4,74290,338357,409111,26,decrease
CUST00029,47,M,Metropolitan,64377,48404,316189,4.91,1,27,46,0,94660,355323,181836,18,stable
CUST00030,24,M,Metropolitan,117946,73744,124123,1.05,6,92,45,4,43525,178274,697995,36,decrease
CUST00031,43,M,Urban,275564,96752,131373,0.48,5,94,34,3,54240,124019,75726,20,stable
CUST00032,51,M,Urban,278246,181408,118015,0.42,3,17,24,1,23093,459321,375890,23,stable
CUST00033,51,F,Urban,14014,11093,18070,1.29,2,26,41,1,45017,197392,168823,32,stable
CUST00034,28,F,Urban,219141,105510,579036,2.64,2,25,34,1,29592,272791,674076,6,stable
CUST00035,50,M,Rural,75316,2368,77575,1.03,6,15,13,3,87922,448982,134046,27,stable
CUST00036,53,M,Urban,152038,99157,118834,0.78,1,57,60,5,55609,227897,984165,5,stable
CUST00037,29,F,Rural,100285,15338,461243,4.6,5,96,7,4,3051,179819,386836,3,increase
CUST00038,20,M,Rural,194407,73523,760463,3.91,5,29,18,0,73847,344894,744994,27,stable
CUST00039,40,M,Rural,95852,32217,8308,0.09,6,22,8,3,74740,378496,863049,0,stable
CUST00040,51,M,Semi-Urban,185247,138877,529525,2.86,1,0,15,4,53222,29375,675022,4,stable
CUST00041,42,M,Metropolitan,267764,190710,740427,2.77,2,15,50,4,72789,477880,365612,13,decrease
CUST00042,42,M,Rural,190412,78832,575581,3.02,6,61,51,4,95435,306063,774121,25,decrease
CUST00043,35,F,Rural,99758,62752,318717,3.19,6,100,22,1,23049,210677,370260,35,stable
CUST00044,48,M,Rural,131131,40158,547577,4.18,3,57,31,0,41975,9540,550652,3,stable
CUST00045,33,M,Semi-Urban,59991,38646,162049,2.7,1,91,31,2,66387,149143,724635,34,stable
CUST00046,50,M,Semi-Urban,12000,5052,35506,2.96,3,100,11,2,97856,38304,514999,9,stable
CUST00047,49,F,Metropolitan,123940,86027,265517,2.14,2,34,22,0,94297,25351,622956,25,stable
CUST00048,24,M,Rural,80353,11261,65953,0.82,3,6,3,1,89588,300657,167164,10,stable
CUST00049,43,F,Rural,12543,7587,33496,2.67,5,35,9,4,18888,166807,843727,34,stable
CUST00050,52,M,Semi-Urban,93999,17955,299985,3.19,1,95,23,5,32479,61476,316955,12,decrease
CUST00051,40,M,Semi-Urban,120856,68450,414568,3.43,6,16,48,5,41555,178031,928232,21,decrease
CUST00052,30,F,Semi-Urban,74234,39954,178352,2.4,4,11,60,0,24466,430155,735256,6,stable
CUST00053,48,M,Metropolitan,490853,51934,1768831,3.6,4,82,57,4,89112,490419,676490,20,decrease
CUST00054,56,F,Metropolitan,133324,60566,197775,1.48,1,38,44,4,21545,21689,807606,13,decrease
CUST00055,45,M,Rural,108033,9348,38102,0.35,5,74,17,3,48136,154697,223945,16,stable
CUST00056,58,M,Metropolitan,16542,5293,46732,2.82,2,8,49,2,19065,214532,622380,36,stable
CUST00057,58,M,Metropolitan,304106,28295,1062383,3.49,5,64,21,3,91792,451070,967766,24,decrease
CUST00058,18,M,Rural,171981,19870,203196,1.18,4,53,38,2,25289,448345,759074,2,stable
CUST00059,33,M,Metropolitan,232841,140507,790141,3.39,2,19,27,4,25470,173416,315062,0,decrease
CUST00060,20,M,Semi-Urban,247564,80219,1110205,4.48,1,62,59,0,23960,295735,223920,5,stable
CUST00061,49,M,Semi-Urban,161772,34620,758574,4.69,5,79,53,4,61642,207611,293876,35,decrease
CUST00062,55,F,Metropolitan,438570,275987,1027512,2.34,2,46,40,0,38413,259214,849070,0,stable
CUST00063,23,F,Metropolitan,165159,78859,11023,0.07,6,75,23,3,29703,9337,580715,35,stable
CUST00064,45,M,Urban,374167,105787,687281,1.84,4,91,36,0,4835,20159,507562,16,increase
CUST00065,28,M,Urban,350896,166619,82844,0.24,5,45,34,4,45445,398929,590466,4,stable
